"code","area"
"A","Lebak, Serang, Pandeglang, Tangerang, Cilegon"
"B","DKI Jakarta, Bekasi, Tangerang, Depok, Tangerang Selatan"
"D","Bandung, Cimahi"
"E","Cirebon, Majalengka, Kuningan, Indramayu"
"F","Sukabumi, Bogor, Cianjur"
"G","Pekalongan, Brebes, Pemalang, Batang, Tegal"
"H","Semarang, Kendal, Salatiga, Demak"
"K","Kudus, Jepara, Pati, Cepu, Rembang, Grobogan, Blora"
"L","Surabaya"
"M","Madura"
"N","Malang, Probolinggo, Batu, Pasuruan, Lumajang"
"P","Banyuwangi, Jember, Situbondo, Besuki, Bondowoso"
"R","Cilacap, Banyumas, Banjarnegara, Purbalingga"
"S","Bojonegoro, Lamongan, Jombang, Tuban, Mojokerto"
"T","Purwakarta, Subang, Karawang"
"W","Gresik, Sidoarjo"
"Z","Banjar, Ciamis, Tasikmalaya, Garut, Sumedang"
"AA","Purworejo, Temanggung, Kedu, Magelang, Kebumen, Wonosobo"
"AB","Daerah Istimewa Yogyakarta"
"AD","Surakarta, Karanganyar, Boyolali, Wonogiri, Klaten, Sukoharjo, Sragen"
"AE","Madiun, Pacitan, Ponorogo, Ngawi, Magetan"
"AG","Kediri, Blitar, Trenggalek, Tulungagung, Nganjuk"
"BA","Sumatra Barat"
"BB","Sumatra Utara"
"BD","Bengkulu"
"BE","Lampung"
"BG","Sumatra Selatan"
"BH","Jambi"
"BK","Sumatra Utara"
"BL","Aceh"
"BM","Riau"
"BN","Bangka Belitung"
"BP","Kepulauan Riau"
"DA","Kalimantan Selatan"
"DB","Manado, Minahasa, Bolaang Mongondow, Tomohon, Bitung"
"DC","Sulawesi Barat"
"DD","Sulawesi Selatan"
"DE","Maluku"
"DG","Maluku Utara"
"DH","Kupang, Timor, Rote Ndao, Timor Tengah Selatan, Timor Tengah Utara"
"DK","Bali"
"DL","Sulawesi Utara"
"DM","Gorontalo"
"DN","Sulawesi Tengah"
"DR","Lombok, Mataram"
"DT","Sulawesi Tenggara"
"EA","Bima, Dompu, Sumbawa"
"EB","Flores, Manggarai, Alor, Ende, Ngada, Lembata, Sikka"
"ED","Sumba"
"KB","Kalimantan Barat"
"KH","Kalimantan Tengah"
"KT","Kalimantan Timur"
"KU","Kalimantan Utara"
"PA","Papua"
"PB","Papua Barat"
